music,loudness
14448.mp3,0.28369805
15030.mp3,0.2308446
14514.mp3,0.3989115
14500.mp3,0.39995593
14528.mp3,0.048912246
14716.mp3,0.19767652
14702.mp3,0.17523861
14919.mp3,0.22575167
14931.mp3,0.1808301
14925.mp3,0.18262577
14909.mp3,0.188524
14921.mp3,0.22127731
14935.mp3,0.1688637
14706.mp3,0.17804459
14712.mp3,0.16722032
14504.mp3,0.41609523
14510.mp3,0.4109945
14538.mp3,0.096736684
15008.mp3,0.22171657
14470.mp3,0.08934361
14464.mp3,0.09045234
15034.mp3,0.096325316
14458.mp3,0.039000124
15020.mp3,0.25583526
14869.mp3,0.06429932
14855.mp3,0.45382503
14841.mp3,0.34722364
14699.mp3,0.17893201
14672.mp3,0.0767086
14666.mp3,0.07435417
14896.mp3,0.033834204
14882.mp3,0.15616225
14897.mp3,0.050065104
14667.mp3,0.07307931
14673.mp3,0.08007841
14698.mp3,0.20987676
14840.mp3,0.25273263
14854.mp3,0.47756016
14868.mp3,0.05680137
14459.mp3,0.04698515
15021.mp3,0.25583088
15035.mp3,0.09970145
14465.mp3,0.08950041
15009.mp3,0.22347584
14471.mp3,0.08544803
14539.mp3,0.098567024
14511.mp3,0.41255718
14505.mp3,0.41815686
14713.mp3,0.16964343
14707.mp3,0.17821853
14934.mp3,0.18284906
14920.mp3,0.23336475
14908.mp3,0.20031245
14936.mp3,0.17075971
14922.mp3,0.23102893
14711.mp3,0.16294853
14705.mp3,0.17744835
14739.mp3,0.084609225
14513.mp3,0.40241447
14507.mp3,0.4124
14498.mp3,0.40413645
14467.mp3,0.09241027
14473.mp3,0.07727534
15023.mp3,0.25273064
15037.mp3,0.10014914
14842.mp3,0.37938845
14856.mp3,0.4382996
14665.mp3,0.07633739
14671.mp3,0.07529113
14659.mp3,0.11736446
14881.mp3,0.17356244
14895.mp3,0.019296322
14894.mp3,0.017791573
14880.mp3,0.15742023
14658.mp3,0.11879206
14670.mp3,0.07088841
14664.mp3,0.0758231
14857.mp3,0.42108262
14843.mp3,0.3856729
15036.mp3,0.09768753
15022.mp3,0.25157496
14472.mp3,0.07951823
14466.mp3,0.08663679
14499.mp3,0.40442416
14506.mp3,0.4143984
14512.mp3,0.40920365
14738.mp3,0.08664416
14704.mp3,0.17670155
14710.mp3,0.15842494
14923.mp3,0.2275741
14937.mp3,0.16123146
14912.mp3,0.17950964
14906.mp3,0.20902911
14709.mp3,0.17154191
