music,tempo,loudness,normalized_tempo,normalized_loudness
14826.mp3,117.45383523,0.07321262,0.45454545455600903,0.11789414960868166
14832.mp3,80.74951172,0.07306745,0.31250000000483746,0.11759237876134823
14403.mp3,89.10290948,0.068590716,0.34482758619622067,0.10828640774484058
14417.mp3,151.99908088,0.10551292,0.5882352941085411,0.18503811117184382
14577.mp3,89.10290948,0.11525237,0.34482758619622067,0.20528390630211632
14563.mp3,143.5546875,0.114603534,0.5555555555555556,0.20393514423350406
14588.mp3,143.5546875,0.106542386,0.5555555555555556,0.18717810447019037
14775.mp3,80.74951172,0.04423402,0.31250000000483746,0.05765514239963866
14761.mp3,92.28515625,0.27269167,0.35714285714285715,0.5325594519698394
14749.mp3,123.046875,0.101464085,0.47619047619047616,0.1766216313987276
14991.mp3,92.28515625,0.16542816,0.35714285714285715,0.30958638383827836
14985.mp3,143.5546875,0.15123254,0.5555555555555556,0.28007736492374025
14952.mp3,129.19921875,0.12310055,0.5,0.22159824072813644
14946.mp3,129.19921875,0.10363699,0.5,0.1811385383562606
14942.mp3,112.34714674,0.1496398,0.43478260869901736,0.27676647080386796
14956.mp3,129.19921875,0.12920795,0.5,0.2342939441999573
14765.mp3,123.046875,0.30865723,0.47619047619047616,0.6073225401838066
14771.mp3,80.74951172,0.04275759,0.31250000000483746,0.054586026658586737
14981.mp3,143.5546875,0.14746365,0.5555555555555556,0.2722428183314242
14759.mp3,135.99917763,0.30120358,0.5263157894675736,0.5918283314889876
14995.mp3,129.19921875,0.14950457,0.5,0.27648536264319495
14598.mp3,117.45383523,0.23890886,0.45454545455600903,0.46233373591966004
14567.mp3,143.5546875,0.1170805,0.5555555555555556,0.20908411529251156
14573.mp3,143.5546875,0.11275136,0.5555555555555556,0.20008495399179457
14413.mp3,151.99908088,0.10475416,0.5882352941085411,0.18346084556515704
