video_filename,matched_music_filename,match_rank,video_score,music_score,score_difference
ACCEDE09431.mp4,14689.mp3,3,0.2579710144927536,0.2777777777777778,0.019806763285024176
ACCEDE09419.mp4,14757.mp3,1,0.4028985507246377,0.3999999999999999,0.002898550724637794
ACCEDE09419.mp4,14389.mp3,2,0.4028985507246377,0.4166666666473166,0.013768115922678903
ACCEDE09419.mp4,14388.mp3,3,0.4028985507246377,0.4166666666473166,0.013768115922678903
ACCEDE09380.mp4,14763.mp3,1,0.4666666666666667,0.4761904761904761,0.009523809523809434
ACCEDE09380.mp4,14616.mp3,2,0.4666666666666667,0.4761904761904761,0.009523809523809434
ACCEDE09380.mp4,14748.mp3,3,0.4666666666666667,0.4761904761904761,0.009523809523809434
ACCEDE09394.mp4,14987.mp3,1,0.4492753623188406,0.454545454556009,0.0052700922371684
ACCEDE09394.mp4,14398.mp3,2,0.4492753623188406,0.454545454556009,0.0052700922371684
ACCEDE09394.mp4,15045.mp3,3,0.4492753623188406,0.454545454556009,0.0052700922371684
ACCEDE09627.mp4,14628.mp3,1,0.6202898550724638,0.6250000000096749,0.004710144937211114
ACCEDE09627.mp4,14629.mp3,2,0.6202898550724638,0.6250000000096749,0.004710144937211114
ACCEDE09627.mp4,14375.mp3,3,0.6202898550724638,0.6250000000096749,0.004710144937211114
ACCEDE09633.mp4,14695.mp3,1,0.7855072463768116,0.7692307692456538,0.016276477131157763
ACCEDE09633.mp4,14694.mp3,2,0.7855072463768116,0.7692307692456538,0.016276477131157763
